CODE,LISTED.NAME,BOARD.LOT
755,SHANGHAI ZENDAI,5000
756,TIANYI SUMMI,4000
757,SOLARGIGA,1000
758,JUNEFIELD GROUP,2000
759,CEC INT'L HOLD,2000
760,TALENT PPT GP,15000
761,BEL GLOBAL RES,2000
762,CHINA UNICOM,2000
763,ZTE,200
764,ETERNITY INV,10000
765,PERFECTECH INTL,2000
766,SINO PROSPER GP,5000
767,PACIFIC PLYWOOD,40000
769,CHINA RAREEARTH,2000
771,AUTOMATED SYS,2000
775,CKLIFE SCIENCES,2000
776,JF FURNISHINGS,1000
777,NETDRAGON,500
787,GLOBAL BRANDS,2000
789,ARTINI,20000
794,COME SURE GROUP,2000
798,OVU,4000
799,IGG,1000
800,A8 NEW MEDIA,2000
801,GOLDEN MEDITECH,4000
802,RCG,10000
803,PROSPERITY INTL,20000
805,GLENCORE-S,100
806,VALUE PARTNERS,1000
809,GLOBAL BIO-CHEM,2000
811,XINHUA WINSHARE,1000
812,SWSI,2000
813,SHIMAO PROPERTY,500
814,JINGKELONG,1000
815,CHI SILVER GP,2000
816,HUADIAN FUXIN,2000
817,CHINA JINMAO,2000
818,HI SUN TECH,3000
819,TIANNENG POWER,2000
821,VC HOLDINGS,4000
822,KA SHUI INT'L,2000
825,NWDS CHINA,1000
826,TIANGONG INT'L,2000
827,KO YO GROUP,4000
828,DYNASTY WINES,2000
829,SHENGUAN HLDGS,2000
830,FAR EAST GLOBAL,2000
831,CR ASIA,2000
832,CENTRAL CHINA,1000
833,ALLTRONICS,1000
834,KANGDA FOOD,4000
835,ASIA COAL,10000
836,CHINA RES POWER,2000
837,CARPENTER TAN,2000
838,EVA HOLDINGS,2000
839,TIANDA OIL PIPE,1000
840,TIANYE WATER,2000
841,CASSAVA RES,2000
842,LEOCH INT'L,1000
844,GRAND CONCORD,4000
845,GLORIOUS PPT H,1000
846,MINGFA GROUP,1000
847,KAZ MINERALS-S,30
848,MAOYE INT'L,1000
850,PETROASIAN,4000
851,SHENG YUAN HLDG,10000
852,STRONG PETRO,2000
853,MICROPORT,1000
854,WILLAS-ARRAY,1000
855,CHINA WATER,2000
856,VST HOLDINGS,2000
857,PETROCHINA,2000
858,EXTRAWELL PHAR,10000
859,HENRY GROUP,2000
860,O LUXE HOLD,12000
861,DC HOLDINGS,1000
862,VISION VALUES,20000
863,BRANDINGCHINA,2000
864,WING LEE PPT,4000
865,FIRST MOBILE,4000
866,CHINA QINFA,2000
867,CMS,1000
868,XINYI GLASS,2000
869,PLAYMATES TOYS,4000
871,CH DREDG ENV,1000
872,TUS INTL,2000
873,C TAIFENG BED,2000
874,BAIYUNSHAN PH,2000
875,CHINA FIN INV,20000
876,MEGA MEDICAL,10000
877,O-NET TECH GP,1000
878,SOUNDWILL HOLD,500
880,SJM HOLDINGS,1000
881,ZHONGSHENG HLDG,500
882,TIANJIN DEV,2000
883,CNOOC,1000
884,CIFI HOLD GP,2000
885,RENTIAN TECH,10000
886,SILVER BASE,1000
887,EMPEROR WATCH&J,10000
888,ROADSHOW,2000
889,DATRONIX HOLD,2000
891,TRINITY,2000
893,CHINAVTM MINING,1000
894,MAN YUE TECH,2000
895,DONGJIANG ENV,200
896,HANISON,2000
897,WAI YUEN TONG,5000
898,MULTIFIELD INTL,2000
899,ASIA RESOURCES,10000
900,AEON CREDIT,2000
902,HUANENG POWER,2000
903,TPV TECHNOLOGY,2000
904,CHINA GREEN,4000
906,COFCO PACKAGING,1000
907,ELEGANCEOPTICAL,2000
908,ZHUHAI H INV,2000
909,ZHONGDA INT'L,2000
910,CHINA SANDI,12000
911,HANGFAT GINSENG,10000
912,SUGA INT'L,2000
914,ANHUI CONCH,500
915,DAOHE GLOBAL,10000
916,CHINA LONGYUAN,1000
917,NEW WORLD CHINA,2000
918,TAKSON HOLDINGS,2000
919,MODERN BEAUTY,4000
921,HISENSE KELON,1000
922,ANXIANYUAN CH,20000
923,IWS,2000
925,BJ PROPERTIES,2000
926,BESUNYEN,1000
927,FUJIKON IND,2000
928,TACK FIORI,4000
929,IPE GROUP,5000
930,CHINA FORESTRY,2000
931,CHINA LNG,20000
932,RM GROUP,4000
933,BRIGHTOIL,1000
934,SINOPEC KANTONS,2000
935,DRAGON CROWN,2000
936,EAGLE LEGEND,10000
938,MAN SANG INT'L,2000
939,CCB,1000
940,C ANIMAL HEALTH,1000
941,CHINA MOBILE,500
943,EFORCE HOLDINGS,8000
945,MANULIFE-S,100
947,MOBI DEV,1000
948,Z-OBEE,2000
950,LEE'S PHARM,500
951,CHAOWEI POWER,1000
952,QUAM,10000
953,MEIKE INT'L,2000
954,CHANGMAO BIO,4000
956,CHINA SUNTIEN,1000
958,HN RENEWABLES,2000
959,AMAX INT HOLD,2000
960,LONGFOR PPT,500
963,BLOOMAGE BIOTEC,2500
966,CHINA TAIPING,200
967,SOUND GLOBAL,1000
968,XINYI SOLAR,2000
969,HUA LIEN INT'L,2000
970,SPARKLE ROLL,8000
973,L'OCCITANE,250
974,SKL,1000
975,MONGOL MINING,500
976,CHIHO-TIANDE,2000
978,CHI MER LAND,2000
979,GREEN ENERGY GP,2000
980,LIANHUA,1000
981,SMIC,1000
982,IONE HOLDINGS,20000
983,SOCAM DEV,2000
984,AEON STORES,500
985,NETMIND FIN,8000
986,CH ENV ENERGY,20000
987,CH RENEW EN INV,2000
988,LOUDONG GN RES,3000
989,GROUND PPT,5000
990,THEME INT'L,10000
991,DATANG POWER,2000
992,LENOVO GROUP,2000
993,HUARONG INT FIN,1000
995,ANHUIEXPRESSWAY,2000
996,CARNIVAL GROUP,10000
997,CHINLINK INTL,10000
998,CITIC BANK,1000
999,I.T,2000
1000,BEIJING MEDIA,500
1001,HK SH ALLIANCE,2000
1002,V.S. INT'L,4000
1003,HUANXI MEDIA,10000
1004,C SMARTERENERGY,2000
1005,MATRIX HOLDINGS,2000
1006,CHANGSHOUHUA,1000
1007,DAQING DAIRY,1000
1008,BRILLIANT CIR,2000
1009,INT'L ENT,2000
1010,PACRAY INT'L,2000
1011,NT PHARMA,500
1013,WAI CHUN GROUP,2000
1019,CONVOY,6000
1020,SINOREF HLDGS,4000
1021,MIDAS HLDGS-S,1000
1022,FEIYU,1500
1023,SITOY GROUP,1000
1026,UNIVERSAL TECH,10000
1027,CHINA JICHENG,10000
1028,C.BANNER,1000
1029,IRC,2000
1030,FUTURE LAND,2000
1031,KINGSTON FIN,2000
1033,SINOPEC SSC,2000
1035,BBI LIFE SCI,1500
1036,VANKE PPT OVS,1000
1037,MAXNERVA TECH,2000
1038,CKI HOLDINGS,1000
1039,FORTUNET E-COMM,1000
1041,CH NEW ENGY PWR,10000
1043,COSLIGHT TECH,2000
1044,HENGAN INT'L,500
1045,APT SATELLITE,500
1046,UNIVERSE INT'L,5000
1047,NGAI HING HONG,2000
1048,NOVO GROUP,1000
1049,CELESTIAL ASIA,6000
1050,KARRIE INT'L,2000
1051,G-RESOURCES,3000
1052,YUEXIUTRANSPORT,2000
1053,CHONGQING IRON,2000
1055,CHINA SOUTH AIR,2000
1057,ZHEJIANG SHIBAO,2000
